Airline,Time,Price,Date
United,4:19pm,$125,2023-02-17
United,4:19pm,$125,2023-02-17
Delta,6:49pm,$130,2023-02-17
Delta,1:19pm,$150,2023-02-17
Alaska,3:55pm,$258,2023-02-17
United,4:19pm,$125,2023-02-18
United,4:19pm,$125,2023-02-18
Delta,6:49pm,$130,2023-02-18
Delta,1:19pm,$150,2023-02-18
Alaska,3:55pm,$258,2023-02-18
Delta,6:49pm,$130,2023-02-19
United,4:19pm,$125,2023-02-19
Delta,1:19pm,$150,2023-02-19
Delta,1:19pm,$209,2023-02-19
United,4:19pm,$150,2023-02-19
United,4:19pm,$125,2023-02-20
United,4:19pm,$125,2023-02-20
Delta,6:49pm,$130,2023-02-20
Delta,1:19pm,$150,2023-02-20
Alaska,3:55pm,$268,2023-02-20
United,4:19pm,$125,2023-02-21
United,4:19pm,$125,2023-02-21
Delta,6:49pm,$130,2023-02-21
Delta,1:19pm,$209,2023-02-21
Alaska,3:55pm,$268,2023-02-21
Delta,6:49pm,$130,2023-02-22
United,4:19pm,$125,2023-02-22
United,4:19pm,$125,2023-02-22
Delta,1:19pm,$179,2023-02-22
Delta,1:19pm,$209,2023-02-22
United,4:19pm,$125,2023-02-23
Delta,1:19pm,$130,2023-02-23
Delta,1:19pm,$130,2023-02-23
United,4:19pm,$180,2023-02-23
Alaska,3:55pm,$194,2023-02-23
United,4:19pm,$125,2023-02-24
United,4:19pm,$125,2023-02-24
Delta,1:19pm,$130,2023-02-24
Delta,1:19pm,$150,2023-02-24
Alaska,3:55pm,$169,2023-02-24
Delta,6:49pm,$130,2023-02-25
United,4:19pm,$125,2023-02-25
United,4:19pm,$125,2023-02-25
Delta,1:19pm,$179,2023-02-25
Delta,1:19pm,$179,2023-02-25
United,4:19pm,$125,2023-02-26
United,4:19pm,$125,2023-02-26
Delta,1:19pm,$130,2023-02-26
Delta,6:49pm,$130,2023-02-26
Alaska,3:55pm,$209,2023-02-26
Delta,6:49pm,$131,2023-02-27
United,4:19pm,$131,2023-02-27
United,4:19pm,$131,2023-02-27
Delta,1:19pm,$169,2023-02-27
Alaska,3:55pm,$210,2023-02-27
United,4:19pm,$131,2023-02-28
United,4:19pm,$131,2023-02-28
Delta,1:19pm,$169,2023-02-28
Delta,6:49pm,$169,2023-02-28
Alaska,3:55pm,$268,2023-02-28
Delta,6:00am,$131,2023-03-01
United,4:19pm,$131,2023-03-01
United,4:19pm,$131,2023-03-01
Delta,6:49pm,$169,2023-03-01
Alaska,3:55pm,$210,2023-03-01
Delta,6:00am,$131,2023-03-02
United,4:19pm,$131,2023-03-02
United,4:19pm,$131,2023-03-02
Delta,6:49pm,$169,2023-03-02
Alaska,3:55pm,$268,2023-03-02
United,4:19pm,$131,2023-03-03
United,4:19pm,$131,2023-03-03
Delta,6:49pm,$169,2023-03-03
Delta,6:00am,$169,2023-03-03
Delta,1:19pm,$210,2023-03-03
Delta,1:19pm,$268,2023-03-04
Delta,6:49pm,$268,2023-03-04
Alaska,3:55pm,$268,2023-03-04
Alaska,3:55pm,$268,2023-03-04
United,4:19pm,$268,2023-03-04
Delta,6:49pm,$268,2023-03-05
United,10:33am,$268,2023-03-05
United,10:33am,$268,2023-03-05
Delta,6:49pm,$268,2023-03-05
Alaska,3:55pm,$268,2023-03-05
United,2:34pm,$268,2023-03-06
United,4:19pm,$268,2023-03-06
Alaska,6:40am,$295,2023-03-06
Delta,1:19pm,$295,2023-03-06
United,2:34pm,$295,2023-03-06
